Acesso,Organizacao,Sujeito,Acao,Objeto,Conflito
Permitted,UFAC,Secretario_de_Curso_Academico,Abertura,Documentos,0
Forbidden,UFAC,Sandra_Maria_Soares_da_Rocha,Abertura,Documentos,0
Permitted,UFAC,Outro_Usuario,Solicitar,Produtos,0
Forbidden,UFAC,Secretario_de_Centros_Academicos,Solicitar,Produtos,0
Permitted,UFAC,Outro_Usuario,Acessar,Almoxarifado,0
Forbidden,UFAC,Jaider_Moreira_de_Almeida,Acessar,Almoxarifado,0
Permitted,UFAC,Secretarios,Solicitar,Materiais,0
Forbidden,UFAC,Secretario_de_Centros_Academicos,Solicitar,Materiais,0
Permitted,UFAC,Grupo_IPTU,Gerar,Planilhas_de_Calculo,0
Permitted,UFAC,Grupo_IPTU,Calcular,IPTU,1
Forbidden,UFAC,Grupo_IPTU,Calcular,IPTU,1
Permitted,UFAC,Socorro_Pontes,Acessar,Portal_do_Aluno,0
Permitted,UFAC,Socorro_Pontes,Matricular,Aluno,0
Permitted,UFAC,Jose_Rodrigues_Bardalles,Solicitacao,Central_de_Copias,0
Permitted,UFAC,Jose_Rodrigues_Bardalles,Analise,Central_de_Copias_Analise,0
Permitted,CCET,Jose_Rodrigues_Bardalles,Solicitacao,Central_de_Copias,0
Permitted,CCSJA,Jose_Rodrigues_Bardalles,Analise,Central_de_Copias,0
Permitted,UFAC,Grupo_Almoxarifado,Requisitar,Material,0
Forbidden,UFAC,Grupo_Almoxarifado,Criar,Guia_de_Requisicao,0
Forbidden,UFAC,Grupo_Almoxarifado,Inserir,Guia_de_Requisicao,0
Permitted,UFAC,Usuario_Qualquer,Cadastrar,Convencao,1
Forbidden,UFAC,Usuario_Qualquer,Nova,Convencao,1
Forbidden,UFAC,Usuario_Qualquer,Alterar,Convencao,1
Forbidden,UFAC,Usuario_Qualquer,Cadastrar,Convencao,1
Permitted,UFAC,Usuario_Qualquer,Nova,Convencao,1
Permitted,UFAC,Usuario_Qualquer,Alterar,Convencao,1
Permitted,UFAC,Socorro_Pontes,Solicitar,MatriculaAluno,0
Permitted,UFAC,Socorro_Pontes,Efetivar,MatriculaAluno,0
Permitted,UFAC,Joao_Josino,LancarMedia,Notas,1
Permitted,UFAC,Joao_Josino,VoltarLancamento,Notas,0
Forbidden,UFAC,Joao_Josino,LancarMedia,Notas,1
Permitted,UFAC,Joao_Josino,VoltarLancamento,Notas,0
Permitted,UFAC,Secretario_de_Unidade_Administrativa,SolicitacaoAbertura,Documentos,0
Forbidden,UFAC,Secretario_de_Unidade_Administrativa,Cancelamento,Documentos,0
Forbidden,UFAC,Outro_Usuario,Acess,Process,1
Obliged,UFAC,Outro_Usuario,Acess,Process,1
Forbidden,UFAC,PROTOCOLIZADOR3,Acess,Process,1
Obliged,UFAC,PROTOCOLIZADOR3,Acess,Process,1
Obliged,UFAC,PROTOCOLIZADOR1,Acess,Process,1
Forbidden,UFAC,PROTOCOLIZADOR1,Acess,Process,1
Permitted,Administrative_Unit,Outro_Usuario,Record,ProcNURCADesp,1
Forbidden,Administrative_Unit,Outro_Usuario,Record,ProcNURCADesp,1
Forbidden,Administrative_Unit,Outro_Usuario,Create,ProcNURCADesp,1
Permitted,Administrative_Unit,Outro_Usuario,Create,ProcNURCADesp,1
Forbidden,Administrative_Unit,Outro_Usuario,Record,ProcNURCADesp,1
Permitted,Administrative_Unit,Outro_Usuario,Record,ProcNURCADesp,1
Forbidden,Administrative_Unit,Outro_Usuario,Generate,Process,0
Obliged,Administrative_Unit,Outro_Usuario,Open,Process,0
Permitted,Administrative_Unit,Secretarios,Close,ProcessDispatch,0
Permitted,Administrative_Unit,Secretarios,Create,ProcessDispatch,0
Permitted,Administrative_Unit,Secretarios,Record,ProcessDispatch,0
Permitted,Administrative_Unit,Secretarios,Close,BuildDispatch,0
Permitted,Administrative_Unit,Secretarios,Create,BuildDispatch,0
Permitted,Administrative_Unit,Secretarios,Record,BuildDispatch,0
Permitted,CCSJA,Joao_Paulo,Analise,Central_de_Copias,0
Permitted,CFET,Joao_Calvino,Requisitar,Material,0
Forbidden,CFET,Joao_Calvino,Criar,Guia_de_Requisicao,0
Forbidden,CFET,Joao_Calvino,Inserir,Guia_de_Requisicao,0
Forbidden,UFAC,Maria_Das_Dores,Generate,Process,0
Obliged,UFAC,Maria_Das_Dores,Open,Process,0
Permitted,Administrative_Unit,Professor,Solicitacao,Central_de_Copias,0
Permitted,Administrative_Unit,Professor,Analise,Central_de_Copias_Analise,0
Permitted,CCET,Professor,Solicitacao,Central_de_Copias,0
Permitted,CCSJA,Professor,Analise,Central_de_Copias,0
Permitted,UFAC,Professor,Requisitar,Material,0
Permitted,UFAC,Coordenador,Requisitar,Material,0
Permitted,UFAC,Coordenador,Solicitacao,Central_de_Copias,0
Permitted,CCET,Coordenador,Solicitacao,Central_de_Copias,0
Permitted,Uninorte,Secretario_de_Curso_Academico,Abertura,Documentos,0
Forbidden,Uninorte,Sandra_Maria_Soares_da_Rocha,Abertura,Documentos,0
Permitted,Uninorte,Outro_Usuario,Solicitar,Produtos,0
Forbidden,Uninorte,Pro_Reitora_Academica,Solicitar,Produtos,0
Permitted,Uninorte,Outro_Usuario,Acessar,Almoxarifado,0
Forbidden,Uninorte,Jaider_Moreira_de_Almeida,Acessar,Almoxarifado,0
Permitted,Uninorte,Secretarios,Solicitar,Materiais,0
Forbidden,Uninorte,Pro_Reitora_Academica,Solicitar,Materiais,0
Permitted,Uninorte,Setor_Administrativo,Gerar,Planilhas_de_Calculo,0
Permitted,Uninorte,Setor_Administrativo,Calcular,FGTS,1
Forbidden,Uninorte,Setor_Administrativo,Calcular,FGTS,1
Permitted,Uninorte,Joana_Siqueira,Acessar,Portal_do_Aluno,1
Permitted,Uninorte,Joana_Siqueira,Matricular,Aluno,0
Permitted,Uninorte,Francisco_Jose_Souza,Solicitacao,Central_de_Copias,0
Permitted,Uninorte,Francisco_Jose_Souza,Analise,Central_de_Copias_Analise,0
Permitted,Comite_Etica_Em_Pesquisa,FranciscoJose_Souza,Solicitacao,Central_de_Copias,0
Permitted,CPA,Francisco_Jose_Souza,Analise,entral_de_Copias,0
Permitted,Uninorte,Grupo_Almoxarifado,Requisitar,Material,0
Forbidden,Uninorte,Grupo_Almoxarifado,Criar,Guia_de_Requisicao,0
Forbidden,Uninorte,Grupo_Almoxarifado,Inserir,Guia_de_Requisicao,0
Permitted,Uninorte,Usuario_Qualquer,Cadastrar,Convencao,1
Forbidden,Uninorte,Usuario_Qualquer,Nova,Convencao,1
Forbidden,Uninorte,Usuario_Qualquer,Alterar,Convencao,1
Forbidden,Uninorte,Usuario_Qualquer,Cadastrar,Convencao,1
Permitted,Uninorte,Usuario_Qualquer,Nova,Convencao,1
Permitted,Uninorte,Usuario_Qualquer,Alterar,Convencao,1
Permitted,Uninorte,Joana_Siqueira,Solicitar,MatriculaAluno,0
Permitted,Uninorte,Joana_Siqueira,Efetivar,MatriculaAluno,0
Permitted,Uninorte,Marcos_Ponte,LancarMedia,Notas,1
Permitted,Uninorte,Marcos_Ponte,VoltarLancamento,Notas,0
Forbidden,Uninorte,Marcos_Ponte,LancarMedia,Notas,1
Permitted,Uninorte,Marcos_Ponts,VoltarLancamento,Notas,0
Permitted,Uninorte,Secretario_e_Unidade_Administrativa,SolicitacaoAbertura,Documentos,0
Forbidden,Uninorte,Secretario_e_Unidade_Administrativa,Cancelamento,Documentos,0
Forbidden,Uninorte,Outro_Usuario,Acess,Process,1
Obliged,Uninorte,Outro_Usuario,Acess,Process,1
Forbidden,Uninorte,Estagiario3,Acess,Process,1
Obliged,Uninorte,Estagiario3,Acess,Process,1
Obliged,Uninorte,Estagiario1,Acess,Process,1
Forbidden,Uninorte,Estagiario1,Acess,Process,1
Permitted,Unidade_Administrativa,Outro_Usuario,Record,ProcNURCADesp,1
Forbidden,Unidade_Administrativa,Outro_Usuario,Record,ProcNURCADesp,1
Forbidden,Unidade_Administrativa,Outro_Usuario,Create,ProcNURCADesp,1
Permitted,Unidade_Administrativa,Outro_Usuario,Create,ProcNURCADesp,1
Forbidden,Unidade_Administrativa,Outro_Usuario,Record,ProcNURCADesp,1
Permitted,Unidade_Administrativa,Outro_Usuario,Record,ProcNURCADesp,1
Forbidden,Unidade_Administrativa,Outro_Usuario,Generate,Process,0
Obliged,Unidade_Administrativa,Outro_Usuario,Open,Process,0
Permitted,Unidade_Administrativa,Secretarios,Close,ProcessDispatch,0
Permitted,Unidade_Administrativa,Secretarios,Create,ProcessDispatch,0
Permitted,Unidade_Administrativa,Secretarios,Record,ProcessDispatch,0
Permitted,Unidade_Administrativa,Secretarios,Close,BuildDispatch,0
Permitted,Unidade_Administrativa,Secretarios,Create,BuildDispatch,0
Permitted,Unidade_Administrativa,Secretarios,Record,BuildDispatch,0
Permitted,CPA,Joao_Paulo,Analise,Central_de_Copias,0
